date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:03%20GMT	http://www.olly.com/cdn/shop/t/219/assets/layout.theme.styleLiquid.scss.css?v=75789508706063305271740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/layout.theme.styleLiquid.scssc622.css	(from https://www.olly.com/)
14:19:04	1190310/1190310	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Mar%202025%2022:32:31%20GMT	https://www.olly.com/cdn/shop/t/219/assets/layout.theme.css?v=149559783163813022161740761106	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/layout.themee227.css	(from https://www.olly.com/)
14:19:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:05%20GMT	http://cdn-3.convertexperiments.com/js/1002950_10024145.js	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/cdn-3.convertexperiments.com/js/1002950_10024145.d.delayed	(from https://www.olly.com/)
14:19:06	117/117	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Mar%202025%2022:32:31%20GMT	https://www.olly.com/cdn/shop/t/219/assets/layout.theme.styleLiquid.scss.css?v=75789508706063305271740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/layout.theme.styleLiquid.scssc622.css	(from https://www.olly.com/)
14:19:08	216649/216649	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2017%20Mar%202025%2019:19:06%20GMT	https://cdn-3.convertexperiments.com/js/1002950_10024145.js	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/cdn-3.convertexperiments.com/js/1002950_10024145.js	(from https://www.olly.com/)
14:19:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:06%20GMT	http://www.olly.com/cdn/shop/t/219/assets/vendors@layout.theme.js?v=122253622894993812801740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/vendors@layout.theme.f53cb.delayed	(from https://www.olly.com/)
14:19:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:08%20GMT	http://www.olly.com/cdn/shop/t/219/assets/layout.theme.js?v=36817089547969798481742219370	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/layout.theme.11b82e.delayed	(from https://www.olly.com/)
14:19:08	133013/133013	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2004%20Mar%202025%2022:32:31%20GMT	https://www.olly.com/cdn/shop/t/219/assets/vendors@layout.theme.js?v=122253622894993812801740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/vendors@layout.theme53cb.js	(from https://www.olly.com/)
14:19:10	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:09%20GMT	http://www.olly.com/cdn/shop/t/219/assets/template.gift_card.js?v=58995662460882282851740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/template.gift_card.13d455.delayed	(from https://www.olly.com/)
14:19:10	99688/99688	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2017%20Mar%202025%2013:49:36%20GMT	https://www.olly.com/cdn/shop/t/219/assets/layout.theme.js?v=36817089547969798481742219370	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/layout.themeb82e.js	(from https://www.olly.com/)
14:19:11	2017/2017	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2004%20Mar%202025%2022:32:31%20GMT	https://www.olly.com/cdn/shop/t/219/assets/template.gift_card.js?v=58995662460882282851740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/template.gift_cardd455.js	(from https://www.olly.com/)
14:19:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:11%20GMT	http://www.olly.com/cdn/shop/t/219/assets/template.index.js?v=48054575780429897891740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/template.index629d.js	(from https://www.olly.com/)
14:19:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:11%20GMT	http://www.olly.com/cdn/shop/t/219/assets/template.product.js?v=74815920381248055441740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/template.producta5f8.js	(from https://www.olly.com/)
14:19:11	17502/17502	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2004%20Mar%202025%2022:32:31%20GMT	https://www.olly.com/cdn/shop/t/219/assets/template.index.js?v=48054575780429897891740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/template.index629d.js	(from https://www.olly.com/)
14:19:11	13127/13127	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2004%20Mar%202025%2022:32:31%20GMT	https://www.olly.com/cdn/shop/t/219/assets/template.product.js?v=74815920381248055441740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/template.producta5f8.js	(from https://www.olly.com/)
14:19:12	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:11%20GMT	http://www.olly.com/cdn/shop/t/219/assets/template.addresses.js?v=99049648916988489941740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/template.addressesb2bc.js	(from https://www.olly.com/)
14:19:12	2878/2878	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2004%20Mar%202025%2022:32:31%20GMT	https://www.olly.com/cdn/shop/t/219/assets/template.addresses.js?v=99049648916988489941740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/template.addressesb2bc.js	(from https://www.olly.com/)
14:19:12	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:12%20GMT	http://www.olly.com/cdn/shop/t/219/assets/template.login.js?v=7351532190759712731740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/template.login43af.js	(from https://www.olly.com/)
14:19:12	2261/2261	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2004%20Mar%202025%2022:32:31%20GMT	https://www.olly.com/cdn/shop/t/219/assets/template.login.js?v=7351532190759712731740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/template.login43af.js	(from https://www.olly.com/)
14:19:12	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:12%20GMT	http://www.olly.com/cdn/shop/t/219/assets/favicon.ico?v=5&v=53422321536899474221740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/favicon3e0d.ico	(from https://www.olly.com/)
14:19:13	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	date:Tue,%2004%20Mar%202025%2023:08:18%20GMT	https://www.olly.com/cdn/shop/t/219/assets/favicon.ico?v=5&v=53422321536899474221740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/favicon3e0d.ico	(from https://www.olly.com/)
14:19:13	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:13%20GMT	http://www.olly.com/cdn/shop/t/219/assets/apple-icon-57x57.png?v=5&v=94051971446701581621740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-57x57ae8e.png	(from https://www.olly.com/)
14:19:13	2107/2107	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2023:13:51%20GMT	https://www.olly.com/cdn/shop/t/219/assets/apple-icon-57x57.png?v=5&v=94051971446701581621740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-57x57ae8e.png	(from https://www.olly.com/)
14:19:13	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:13%20GMT	http://www.olly.com/cdn/shop/t/219/assets/apple-icon-60x60.png?v=5&v=147796045176188148771740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-60x60193f.png	(from https://www.olly.com/)
14:19:13	2287/2287	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2023:15:43%20GMT	https://www.olly.com/cdn/shop/t/219/assets/apple-icon-60x60.png?v=5&v=147796045176188148771740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-60x60193f.png	(from https://www.olly.com/)
14:19:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:14%20GMT	http://www.olly.com/cdn/shop/t/219/assets/apple-icon-72x72.png?v=5&v=33565467402001898921740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-72x72d279.png	(from https://www.olly.com/)
14:19:14	2490/2490	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2023:15:30%20GMT	https://www.olly.com/cdn/shop/t/219/assets/apple-icon-72x72.png?v=5&v=33565467402001898921740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-72x72d279.png	(from https://www.olly.com/)
14:19:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:14%20GMT	http://www.olly.com/cdn/shop/t/219/assets/apple-icon-76x76.png?v=5&v=51219329846973009131740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-76x76e3eb.png	(from https://www.olly.com/)
14:19:14	2651/2651	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2023:15:36%20GMT	https://www.olly.com/cdn/shop/t/219/assets/apple-icon-76x76.png?v=5&v=51219329846973009131740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-76x76e3eb.png	(from https://www.olly.com/)
14:19:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:14%20GMT	http://www.olly.com/cdn/shop/t/219/assets/apple-icon-114x114.png?v=5&v=106039248835321380041740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-114x1148411.png	(from https://www.olly.com/)
14:19:15	5619/5619	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2023:08:47%20GMT	https://www.olly.com/cdn/shop/t/219/assets/apple-icon-114x114.png?v=5&v=106039248835321380041740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-114x1148411.png	(from https://www.olly.com/)
14:19:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:15%20GMT	http://www.olly.com/cdn/shop/t/219/assets/apple-icon-120x120.png?v=5&v=61853107174402382371740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-120x1201e3c.png	(from https://www.olly.com/)
14:19:15	6025/6025	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2023:08:47%20GMT	https://www.olly.com/cdn/shop/t/219/assets/apple-icon-120x120.png?v=5&v=61853107174402382371740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-120x1201e3c.png	(from https://www.olly.com/)
14:19:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:15%20GMT	http://www.olly.com/cdn/shop/t/219/assets/apple-icon-144x144.png?v=5&v=116100441391719993631740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-144x1446bbf.png	(from https://www.olly.com/)
14:19:15	7371/7371	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2023:08:47%20GMT	https://www.olly.com/cdn/shop/t/219/assets/apple-icon-144x144.png?v=5&v=116100441391719993631740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-144x1446bbf.png	(from https://www.olly.com/)
14:19:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:16%20GMT	http://www.olly.com/cdn/shop/t/219/assets/apple-icon-152x152.png?v=5&v=31951435229154067491740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-152x1522731.png	(from https://www.olly.com/)
14:19:16	7897/7897	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2023:08:48%20GMT	https://www.olly.com/cdn/shop/t/219/assets/apple-icon-152x152.png?v=5&v=31951435229154067491740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-152x1522731.png	(from https://www.olly.com/)
14:19:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:16%20GMT	http://www.olly.com/cdn/shop/t/219/assets/apple-icon-180x180.png?v=5&v=24677483267002611191740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-180x1800d82.png	(from https://www.olly.com/)
14:19:16	9723/9723	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2023:08:30%20GMT	https://www.olly.com/cdn/shop/t/219/assets/apple-icon-180x180.png?v=5&v=24677483267002611191740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/apple-icon-180x1800d82.png	(from https://www.olly.com/)
14:19:17	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:17%20GMT	http://www.olly.com/cdn/shop/t/219/assets/android-icon-192x192.png?v=5&v=51115230895600537631740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/android-icon-192x192ad5d.png	(from https://www.olly.com/)
14:19:17	8819/8819	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2023:08:18%20GMT	https://www.olly.com/cdn/shop/t/219/assets/android-icon-192x192.png?v=5&v=51115230895600537631740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/android-icon-192x192ad5d.png	(from https://www.olly.com/)
14:19:17	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:17%20GMT	http://www.olly.com/cdn/shop/t/219/assets/favicon-32x32.png?v=5&v=1203191260291915071740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/favicon-32x321e3e.png	(from https://www.olly.com/)
14:19:17	1556/1556	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2023:08:18%20GMT	https://www.olly.com/cdn/shop/t/219/assets/favicon-32x32.png?v=5&v=1203191260291915071740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/favicon-32x321e3e.png	(from https://www.olly.com/)
14:19:17	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:17%20GMT	http://www.olly.com/cdn/shop/t/219/assets/favicon-96x96.png?v=5&v=174058074765479973421740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/favicon-96x96a196.png	(from https://www.olly.com/)
14:19:18	4648/4648	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2023:08:18%20GMT	https://www.olly.com/cdn/shop/t/219/assets/favicon-96x96.png?v=5&v=174058074765479973421740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/favicon-96x96a196.png	(from https://www.olly.com/)
14:19:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:18%20GMT	http://www.olly.com/cdn/shop/t/219/assets/favicon-16x16.png?v=5&v=180440397839971944531740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/favicon-16x16583b.png	(from https://www.olly.com/)
14:19:18	846/846	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2023:08:18%20GMT	https://www.olly.com/cdn/shop/t/219/assets/favicon-16x16.png?v=5&v=180440397839971944531740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/favicon-16x16583b.png	(from https://www.olly.com/)
14:19:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:18%20GMT	http://www.olly.com/cdn/shop/t/219/assets/manifest.json?v=5&v=122628961719132549641740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/manifest7867.json	(from https://www.olly.com/)
14:19:18	820/820	---MCZ	200	added ('OK')	application/json	date:Tue,%2004%20Mar%202025%2022:32:32%20GMT	https://www.olly.com/cdn/shop/t/219/assets/manifest.json?v=5&v=122628961719132549641740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/manifest7867.json	(from https://www.olly.com/)
14:19:19	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:19%20GMT	http://www.olly.com/cdn/fonts/helvetica/helvetica_n4.fe093fe9ca22a15354813c912484945a36b79146.woff2?h1=b2xseS5jb20&h2=b2xseXBiYy5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=6625be373160c0febca1e8d801b3c91fc3055fc0d71026b103458ad8f9a1acc3	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/fonts/helvetica/helvetica_n4.fe093fe9ca22a15354813c912484945a36b79146cf64.woff2	(from https://www.olly.com/)
14:19:19	19252/19252	---M--	200	added ('OK')	font/woff2	date:Sun,%2023%20Feb%202025%2011:14:40%20GMT	https://www.olly.com/cdn/fonts/helvetica/helvetica_n4.fe093fe9ca22a15354813c912484945a36b79146.woff2?h1=b2xseS5jb20&h2=b2xseXBiYy5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=6625be373160c0febca1e8d801b3c91fc3055fc0d71026b103458ad8f9a1acc3	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/fonts/helvetica/helvetica_n4.fe093fe9ca22a15354813c912484945a36b79146cf64.woff2	(from https://www.olly.com/)
14:19:19	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:19%20GMT	http://www.olly.com/cdn/fonts/helvetica/helvetica_n4.8bddb85c18a0094c427a9bf65dee963ad88de4e8.woff?h1=b2xseS5jb20&h2=b2xseXBiYy5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=1c65a080676aea77b6faf57a49b831f58b71c46db3ea5e053a2f4a008b5a3627	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/fonts/helvetica/helvetica_n4.8bddb85c18a0094c427a9bf65dee963ad88de4e8b7a5.woff	(from https://www.olly.com/)
14:19:19	19196/19196	---M--	200	added ('OK')	font/woff2	date:Tue,%2028%20Jan%202025%2008:20:56%20GMT	https://www.olly.com/cdn/fonts/helvetica/helvetica_n4.8bddb85c18a0094c427a9bf65dee963ad88de4e8.woff?h1=b2xseS5jb20&h2=b2xseXBiYy5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=1c65a080676aea77b6faf57a49b831f58b71c46db3ea5e053a2f4a008b5a3627	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/fonts/helvetica/helvetica_n4.8bddb85c18a0094c427a9bf65dee963ad88de4e8b7a5.woff	(from https://www.olly.com/)
14:19:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:19%20GMT	http://www.olly.com/cdn/fonts/helvetica/helvetica_n7.39bee04bd277a9c4e94e2fd42d53f4e3c0afb8a5.woff2?h1=b2xseS5jb20&h2=b2xseXBiYy5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=9931bd6b1f8d607065a6f34327791854010159317def0a6ebb15be9ddf43b8d8	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/fonts/helvetica/helvetica_n7.39bee04bd277a9c4e94e2fd42d53f4e3c0afb8a5f3e8.woff2	(from https://www.olly.com/)
14:19:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:21%20GMT	http://www.olly.com/cdn/fonts/helvetica/helvetica_n7.b95359461a6788d5549e702cb2123bc40c227e49.woff?h1=b2xseS5jb20&h2=b2xseXBiYy5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=9af8a02b3b0291fa0a06a9358080c55b4300c5c062911701b90d88dc056b9903	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/fonts/helvetica/helvetica_n7.b95359461a6788d5549e702cb2123bc40c227e494175.woff	(from https://www.olly.com/)
